sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	CFC113_D_CONC_BOTTLE [pmol/kg]	SF6_D_CONC_BOTTLE [fmol/kg]	He_D_CONC_BOTTLE [nmol/kg]	Ne_D_CONC_BOTTLE [nmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	PHOSPHATE_LL_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRATE_LL_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	NITRITE_LL_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	DIC_13_12_D_DELTA_BOTTLE [per mil]	He_3_4_D_DELTA_BOTTLE [per mil]	TRITIUM_D_CONC_BOTTLE [TU]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	NITRATE_15_14_D_DELTA_BOTTLE [per mil]	SILICATE_30_28_D_DELTA_BOTTLE [per mil]	SALINITY_D_CONC_PUMP	PHOSPHATE_LL_D_CONC_FISH [umol/kg]	NITRATE_LL_D_CONC_FISH [umol/kg]	NITRITE_LL_D_CONC_FISH [umol/kg]	SALINITY_D_CONC_UWAY	DOC_D_CONC_UWAY [umol/kg]	Al_D_CONC_BOTTLE [nmol/kg]	Ba_D_CONC_BOTTLE [nmol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Cu_D_CONC_BOTTLE [nmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Fe_II_D_CONC_BOTTLE [nmol/kg]	Fe_S_CONC_BOTTLE [nmol/kg]	Ga_D_CONC_BOTTLE [pmol/kg]	Hg_D_CONC_BOTTLE [pmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	Y_D_CONC_BOTTLE [pmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Ce_D_CONC_BOTTLE [pmol/kg]	Pr_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Sm_D_CONC_BOTTLE [pmol/kg]	Eu_D_CONC_BOTTLE [pmol/kg]	Gd_D_CONC_BOTTLE [pmol/kg]	Tb_D_CONC_BOTTLE [pmol/kg]	Dy_D_CONC_BOTTLE [pmol/kg]	Ho_D_CONC_BOTTLE [pmol/kg]	Er_D_CONC_BOTTLE [pmol/kg]	Tm_D_CONC_BOTTLE [pmol/kg]	Yb_D_CONC_BOTTLE [pmol/kg]	Lu_D_CONC_BOTTLE [pmol/kg]	Nd_143_144_D_EPSILON_BOTTLE [per 10000]	Pb_206_204_D_RATIO_BOTTLE	Pb_206_207_D_RATIO_BOTTLE	Pb_208_207_D_RATIO_BOTTLE	Cd_114_110_D_DELTA_BOTTLE [per mil]	Fe_56_54_D_DELTA_BOTTLE [per mil]	Zn_66_64_D_DELTA_BOTTLE [per mil]	Pa_231_D_CONC_BOTTLE [uBq/kg]	Pb_210_D_CONC_BOTTLE [mBq/kg]	Po_210_D_CONC_BOTTLE [mBq/kg]	Th_230_D_CONC_BOTTLE [uBq/kg]	Th_232_D_CONC_BOTTLE [pmol/kg]	Th_234_T_CONC_BOTTLE [mBq/kg]	Ra_223_D_CONC_PUMP [mBq/kg]	Ra_224_D_CONC_PUMP [mBq/kg]	Ra_226_D_CONC_PUMP [mBq/kg]	Ra_228_D_CONC_PUMP [mBq/kg]	Th_228_D_CONC_PUMP [uBq/kg]	Al_D_CONC_FISH [nmol/kg]	Cd_D_CONC_FISH [nmol/kg]	Co_D_CONC_FISH [pmol/kg]	Cu_D_CONC_FISH [nmol/kg]	Fe_D_CONC_FISH [nmol/kg]	Fe_II_D_CONC_FISH [nmol/kg]	Fe_S_CONC_FISH [nmol/kg]	Ga_D_CONC_FISH [pmol/kg]	Hg_D_CONC_FISH [pmol/kg]	Mn_D_CONC_FISH [nmol/kg]	Ni_D_CONC_FISH [nmol/kg]	Pb_D_CONC_FISH [pmol/kg]	Zn_D_CONC_FISH [nmol/kg]	Y_D_CONC_FISH [pmol/kg]	La_D_CONC_FISH [pmol/kg]	Ce_D_CONC_FISH [pmol/kg]	Pr_D_CONC_FISH [pmol/kg]	Nd_D_CONC_FISH [pmol/kg]	Sm_D_CONC_FISH [pmol/kg]	Eu_D_CONC_FISH [pmol/kg]	Gd_D_CONC_FISH [pmol/kg]	Tb_D_CONC_FISH [pmol/kg]	Dy_D_CONC_FISH [pmol/kg]	Ho_D_CONC_FISH [pmol/kg]	Er_D_CONC_FISH [pmol/kg]	Tm_D_CONC_FISH [pmol/kg]	Yb_D_CONC_FISH [pmol/kg]	Lu_D_CONC_FISH [pmol/kg]	Nd_143_144_D_EPSILON_FISH [per 10000]	Pb_206_204_D_RATIO_FISH	Pb_206_207_D_RATIO_FISH	Pb_208_207_D_RATIO_FISH	Fe_56_54_D_DELTA_FISH [per mil]	Zn_66_64_D_DELTA_FISH [per mil]	Pa_231_D_CONC_FISH [uBq/kg]	Th_230_D_CONC_FISH [uBq/kg]	Th_232_D_CONC_FISH [pmol/kg]	L1Cu_D_CONC_BOTTLE [nmol/kg]	L1Cu_D_LogK_BOTTLE	L1Fe_D_CONC_BOTTLE [nmol/kg]	L1Fe_D_LogK_BOTTLE	L2Fe_D_CONC_BOTTLE [nmol/kg]	L2Fe_D_LogK_BOTTLE	L1Cu_D_CONC_FISH [nmol/kg]	L1Cu_D_LogK_FISH	L1Fe_D_CONC_FISH [nmol/kg]	L1Fe_D_LogK_FISH	L2Fe_D_CONC_FISH [nmol/kg]	L2Fe_D_LogK_FISH	P_TP_CONC_BOTTLE [nmol P/kg]	P_TPL_CONC_BOTTLE [nmol P/kg]	Al_TP_CONC_BOTTLE [nmol/kg]	Al_TPL_CONC_BOTTLE [nmol/kg]	Al_TPR_CONC_BOTTLE [nmol/kg]	Cd_TP_CONC_BOTTLE [pmol/kg]	Cd_TPL_CONC_BOTTLE [pmol/kg]	Cd_TPR_CONC_BOTTLE [pmol/kg]	Co_TP_CONC_BOTTLE [pmol/kg]	Co_TPL_CONC_BOTTLE [pmol/kg]	Co_TPR_CONC_BOTTLE [pmol/kg]	Fe_TP_CONC_BOTTLE [nmol/kg]	Fe_TPL_CONC_BOTTLE [nmol/kg]	Fe_TPR_CONC_BOTTLE [nmol/kg]	Mn_TP_CONC_BOTTLE [nmol/kg]	Mn_TPL_CONC_BOTTLE [nmol/kg]	Mn_TPR_CONC_BOTTLE [nmol/kg]	P_TPR_CONC_BOTTLE [nmol/kg]	Ti_TP_CONC_BOTTLE [nmol/kg]	Ti_TPL_CONC_BOTTLE [nmol/kg]	Ti_TPR_CONC_BOTTLE [nmol/kg]	Ag_LPT_CONC_PUMP [pmol/kg]	Ag_SPT_CONC_PUMP [pmol/kg]	Al_LPT_CONC_PUMP [nmol/kg]	Al_SPT_CONC_PUMP [nmol/kg]	Ba_LPT_CONC_PUMP [pmol/kg]	Ba_SPT_CONC_PUMP [pmol/kg]	Cd_LPT_CONC_PUMP [pmol/kg]	Cd_SPT_CONC_PUMP [pmol/kg]	Co_LPT_CONC_PUMP [pmol/kg]	Co_SPT_CONC_PUMP [pmol/kg]	Cu_LPT_CONC_PUMP [pmol/kg]	Cu_SPT_CONC_PUMP [pmol/kg]	Fe_LPT_CONC_PUMP [nmol/kg]	Fe_SPT_CONC_PUMP [nmol/kg]	Mn_LPT_CONC_PUMP [nmol/kg]	Mn_SPT_CONC_PUMP [nmol/kg]	Ni_LPT_CONC_PUMP [pmol/kg]	Ni_SPT_CONC_PUMP [pmol/kg]	P_LPT_CONC_PUMP [nmol/kg]	P_SPT_CONC_PUMP [nmol/kg]	Pb_LPT_CONC_PUMP [pmol/kg]	Pb_SPT_CONC_PUMP [pmol/kg]	Th_LPT_CONC_PUMP [pmol/kg]	Th_SPT_CONC_PUMP [pmol/kg]	Ti_LPT_CONC_PUMP [pmol/kg]	Ti_SPT_CONC_PUMP [pmol/kg]	V_LPT_CONC_PUMP [pmol/kg]	V_SPT_CONC_PUMP [pmol/kg]	Y_LPT_CONC_PUMP [pmol/kg]	Y_SPT_CONC_PUMP [pmol/kg]	Nd_LPT_CONC_PUMP [pmol/kg]	Nd_SPT_CONC_PUMP [pmol/kg]	Pa_231_SPT_CONC_PUMP [uBq/kg]	Th_228_SPT_CONC_PUMP [uBq/kg]	Th_230_SPT_CONC_PUMP [uBq/kg]	Th_232_SPT_CONC_PUMP [pmol/kg]	Th_234_SPT_CONC_PUMP [mBq/kg]	Th_234_LPT_CONC_PUMP [mBq/kg]
S0243	GA03	KN199-4	Station 10	1700135	853163	17.3537	-20.821109999999976	2	3352	2	27.35	36.220001	36.220001	NA	NA	NA	NA	NA	NA	199.600006	199.7	0.01	NA	0.39	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.240002	0.014049	0.02039	0.002439	36.240002	83.609756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.443905	NA	NA	NA	NA	NA	NA	9e-4	36.097561	NA	0.384634	0.068293	0.1715	NA	0.097561	NA	NA	17	0.02	124.5	26.6	32.189999	6.53	30.4	6.01	1.47	6.93	0.96	6.63	1.42	4.62	0.569	3.63	0.525	-12.360000	NA	1.178	2.458	0.52	0.61	2.831112	3.160352	0.330589	NA	NA	NA	NA	NA	NA	NA	NA	1.180488	12.51	1.170732	11.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0238	GA03	KN199-4	Station 10	1700135	842069	17.3537	-20.821109999999976	51.8	3352	52.1	17.94	35.830002	35.860001	2.026	1.264	0.075	0.922	1.705	6.993	97.199997	97.1	1.1	0.836488	3.8	15.5	0.88322	0.44	0.259707	2318.600098	2190.550049	54.146343	0.42	-0.8	0.369	6.43	0.92	6.62	NA	NA	NA	NA	NA	NA	NA	3.512195	39.900002	0.007078	101.463417	0.653659	0.384756	0.068293	0.198	21.4	0.487805	1.801951	NA	29.700001	0.149024	104.099998	18.700001	17.76	3.7	17.700001	3.33	0.84	4.22	0.57	4.45	1.02	3.73	0.454	3.21	0.467	-12.84	NA	NA	NA	1.325	-0.52	-0.08	0.52428	NA	NA	0.736909	0.500345	33.980488	0.001626	0.040651	1.344683	0.245529	29.268293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.75122	13.9	0	0	1.395122	11.95	NA	NA	NA	NA	NA	NA	22.584545	NA	0.21122	NA	NA	4.682927	NA	NA	4.195122	NA	NA	0.272	NA	NA	0.017756	NA	NA	NA	0.011776	NA	NA	NA	NA	0.72	0.220488	14.341463	20.487804	1.365854	2.829268	0.369756	3.814634	1.521951	12.585366	0.241951	0.183415	0.003893	0.013268	2.965854	21.073172	2.819512	10.146342	0.063512	0.309268	0.012488	0.008722	40.682926	NA	1.326829	1.921951	0.142439	0.171707	NA	NA	NA	3.251707	NA	NA	3.315415	0.308976
S0239	GA03	KN199-4	Station 10	1700135	842072	17.3537	-20.821109999999976	86.6	3352	87.1	15.23	35.669998	35.66	1.967	1.142	0.038	0.659	1.713	7.091	60.5	60.6	1.53	0.89922	6.93	24.68	1.102732	0.03	0.037366	2264.000000	2220.459961	NA	0.12	6.2	0.336	3.84	0.44	4.465	NA	NA	NA	NA	NA	NA	NA	6.956098	0.1	0.144621	142.439026	0.814634	1.309756	0.126829	0.359	22.299999	1.170732	0.760976	NA	23.200001	0.311463	112	21.9	12.96	4.05	19.299999	3.67	0.92	4.67	0.63	4.9	1.12	4.12	0.503	3.55	0.519	-11.92	NA	NA	NA	0.385	-0.22	-0.04	0.69904	NA	NA	0.615357	0.201215	39.190243	0.003252	0.071544	1.364195	0.108943	21.138536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.434146	13.65	2.097561	12.27	1.258537	11.27	NA	NA	NA	NA	NA	NA	5.980897	NA	2.303415	NA	NA	1.170732	NA	NA	0.780488	NA	NA	0.663317	NA	NA	0.064878	NA	NA	NA	0.027571	NA	NA	NA	NA	0.849756	2.068293	63.609756	432.195099	0.236098	2	0.802927	0.952195	1.365854	15.512195	0.266341	0.79122	0.01522	0.074244	3.42439	18.243902	0.491707	3.268293	0.119024	0.569756	0.016195	0.048585	41.560974	72.292686	1.141463	3.42439	0.125854	0.632195	NA	NA	0.007502	4.878049	0.108211	0.04831	3.094342	0.643902
S0240	GA03	KN199-4	Station 10	1700135	842075	17.3537	-20.821109999999976	101	3352	101.6	14.51	35.580002	35.580002	1.956	1.117	0.035	0.622	1.713	7.128	63.599998	63.5	1.55	0.901268	7.41	25.02	1.115317	0.02	0.023317	NA	NA	48.682926	0.32	10.9	0.304	3.27	0.505	4.615	NA	NA	NA	NA	NA	NA	NA	8.643903	45.900002	0.191761	131.707321	0.629268	1.38878	0.243902	0.421	24.200001	1.170732	0.595122	NA	24.950001	0.294512	111.099998	21.700001	11.73	4.02	19	3.6	0.92	4.59	0.62	4.82	1.13	4.12	0.512	3.61	0.527	-11.62	NA	NA	NA	0.355	-0.14	-0.12	1.118464	NA	NA	1.29149	0.328693	40.975609	0.003252	0.071544	1.364195	0.108943	21.138536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.458537	13.95	2.585366	12.16	0.917073	11.26	NA	NA	NA	NA	NA	NA	5.334312	NA	2.950732	NA	NA	1.853659	NA	NA	1.170732	NA	NA	0.932	NA	NA	0.080585	NA	NA	NA	0.081746	NA	NA	NA	NA	0.849756	2.068293	63.609756	432.195099	0.236098	2	0.802927	0.952195	1.365854	15.512195	0.266341	0.79122	0.01522	0.074244	3.42439	18.243902	0.491707	3.268293	0.119024	0.569756	0.016195	0.048585	41.560974	72.292686	1.141463	3.42439	0.125854	0.632195	NA	NA	0.007502	4.878049	0.108211	0.04831	3.094342	0.643902
S0241	GA03	KN199-4	Station 10	1700135	842078	17.3537	-20.821109999999976	140.7	3352	141.6	13.87	35.580002	35.560001	1.899	1.082	0.022	0.613	1.712	7.154	75.900002	75.6	1.53	0.897951	8.29	24.379999	1.118732	0.01	0.019415	2264.899902	2212.620117	171.609756	0.2	12.9	0.315	3.54	0.46	4.79	NA	NA	NA	NA	NA	NA	NA	12.292683	42.099998	0.228495	103.414627	0.721951	1.411707	0.165854	0.428	24.9	0.878049	0.52878	NA	23.1	0.400244	115.800003	21.5	10.25	4.05	19.200001	3.71	0.94	4.75	0.65	5.12	1.18	4.29	0.531	3.77	0.551	-11.73	NA	NA	NA	0.325	-0.03	0.26	1.170892	NA	NA	1.435833	0.344639	41.463413	0	0.043902	1.414634	0.121951	32.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.146342	13.75	2.117073	12.58	0.702439	11.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24878	5.453659	36.097561	441.951233	0.995122	2.312195	0.185366	1.219512	1.073171	17.853659	0.382439	1.678049	0.012488	0.085171	3.960976	25.073172	0.387317	2.634146	0.115122	0.697561	0.022537	0.11122	48.487804	185.365845	6.243903	8.146341	0.148293	0.796098	NA	NA	NA	8.129756	NA	NA	3.629268	0.481268
S0242	GA03	KN199-4	Station 10	1700135	842081	17.3537	-20.821109999999976	185	3352	186.2	12.93	35.41	35.400002	1.805	1.003	0.016	0.547	1.718	7.163	76.099998	76.6	1.62	0.904878	9.17	25.73	1.127805	0.01	0.012488	2258.100098	2212.050049	NA	0.26	18.6	0.276	2.75	0.49	5.035	NA	NA	NA	NA	NA	NA	NA	12	40.700001	0.249445	105.365852	0.643902	1.406342	0.146341	0.457	21.1	1.170732	0.555122	NA	23.75	0.555976	116.800003	21.700001	9.4	4.12	19.5	3.62	0.94	4.71	0.65	5.07	1.18	4.22	0.539	3.83	0.559	-11.43	NA	NA	NA	0.325	0.03	-0.08	1.188368	NA	NA	1.67134	0.380839	42.92683	0	0.061788	1.473171	0.087805	42.276096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.551219	14.15	1.463415	12.55	0	0	NA	NA	NA	NA	NA	NA	3.853483	NA	8.040586	NA	NA	1.756098	NA	NA	1.268293	NA	NA	2.15561	NA	NA	0.09122	NA	NA	NA	0.241132	NA	NA	NA	NA	2.019512	5.72683	40.878048	416.585358	0.061659	2.156098	0.249756	1.180488	1.609756	28.682926	0.654634	1.765854	0.011512	0.073463	6.439024	25.365854	0.17561	2.22439	0.137561	0.46439	0.037561	0.112195	102.439018	214.634155	2.234146	8.536586	0.217561	0.77561	NA	NA	NA	4.878049	NA	NA	2.956098	0.452
S0098	GA03	KN204-1	Station 24	1646914	846713	17.3999	-24.49991	48.1	3574	48.4	24.678	36.806	36.805	1.858	1.125	0.147	1.188	1.67	6.594	206.699997	207	0	0.02322	0	0.03	0.077073	0	0.001561	2392.000000	2082.570068	NA	1.32	-13.6	0.455	NA	NA	10.46	NA	NA	NA	NA	NA	NA	NA	21.55122	38.200001	5e-4	25.365854	0.653659	0.448293	0.078049	0.192	29.200001	0.487805	2.483902	NA	17.4	0.122561	120.599998	19.799999	20.809999	4.44	21.299999	4.2	1.1	5.48	0.76	5.73	1.27	4.39	0.543	3.61	0.515	NA	18.5	1.183	2.45	NA	0.6	0.1	0.646612	NA	NA	0.91164	0.417083	34.468292	NA	0.026017	1.292683	0.382114	87.804878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.385366	12.65	0.536585	11.58	NA	NA	NA	NA	NA	NA	12.319863	9.803707	5.096292	0.360859	5.021844	0.487805	0.97561	0.087805	3.902439	3.336585	1.073171	1.478341	0.224127	1.519717	0.094439	0.130039	0.015532	3.596507	0.269444	6.54e-4	0.240361	0.014537	0.169756	1.95122	4.185366	27.902439	9.326829	0.155122	0.498537	0.362927	3.707317	5.326829	17.463415	0.552195	1.170732	0.047415	0.109268	9.531708	28.780487	0.179512	10.048781	0.393171	0.571707	0.02361	0.060976	52.585365	154.146347	2.634146	5.941463	0.239024	0.638049	0.176585	0.417561	NA	4.878049	NA	NA	1.925171	0.211415
S0099	GA03	KN204-1	Station 24	1646914	846716	17.3999	-24.49991	71.6	3574	72	20.199	36.477001	36.484001	2.015	1.178	0.113	1.068	1.687	6.925	154.100006	156.3	0.5	0.205366	1.75	7.87	0.703317	0.11	0.111707	2385.199951	2151.520020	NA	0.73	-5	0.464	NA	NA	4.81	NA	NA	NA	NA	NA	NA	NA	10.517073	38.700001	0.0011	68.292686	0.653659	0.140488	0.019512	0.207	30.9	0.585366	1.899512	NA	21.049999	0.07878	122.400002	16.299999	14.34	3.27	15.9	3.18	0.85	4.51	0.62	5.17	1.2	4.35	0.531	3.67	0.522	NA	18.219999	1.177	2.447	1.53	0.21	0.13	0.891276	NA	NA	0.904043	0.209102	38.702438	0.001626	0.022764	1.317073	0.265041	50.40683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.795122	13.55	0.965854	12.49	0.907317	11.31	NA	NA	NA	NA	NA	NA	9.468244	12.363259	1.456195	0.266254	2.743327	1.463415	3.804878	0.058537	2.536585	3.453659	1.073171	0.610537	0.14479	0.792751	0.079512	0.05638	0.010176	3.998585	0.214663	0.001015	0.2204	0.009854	0.146341	1.521951	1.121951	14.048781	44.878048	0.301463	1.209756	0.393171	2.84878	1.317073	14.048781	0.426341	0.371707	0.015902	0.061756	7.921951	18.146341	1.209756	7.619512	0.090829	0.484878	0.021854	0.020195	72.780487	49.268291	4.009756	2.809756	0.254634	0.403902	0.131707	0.194146	NA	4.878049	NA	NA	2.160976	0.349561
S0100	GA03	KN204-1	Station 24	1646914	846719	17.3999	-24.49991	89.3	3574	89.9	19.688	36.588001	36.589001	2.125	1.258	0.115	1.1	1.72	6.932	143	140.9	0.58	0.604976	1.46	9.51	0.725756	0.03	0.085561	2380.699951	2168.370117	NA	0.54	-5.4	0.495	NA	NA	4.34	NA	NA	NA	NA	NA	NA	NA	9.453659	40.5	0.010428	92.68293	0.692683	0.296585	0.04878	0.242	33.799999	0.585366	1.166829	NA	19.450001	0.104878	127.099998	16.9	12.57	3.1	15.5	3.04	0.81	4.5	0.63	5.36	1.24	4.62	0.567	3.95	0.562	NA	18.370001	1.183	2.452	0.605	-0.01	0.13	0.978656	NA	NA	1.154744	0.207335	38.536587	0.001626	0.011382	1.325171	0.258537	55.284878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.795122	13.55	1.170732	12.48	0.965854	11.87	NA	NA	NA	NA	NA	NA	9.468244	12.363259	1.456195	0.266254	2.743327	1.463415	3.804878	0.058537	2.536585	3.453659	1.073171	0.610537	0.14479	0.792751	0.079512	0.05638	0.010176	3.998585	0.214663	0.001015	0.2204	0.023415	0.20878	2.731707	2.907317	20.487804	130.731705	0.219512	1.980488	0.690732	2.439024	1.980488	20.975611	1.190244	1.229268	0.045171	0.14439	14.926829	24.682926	0.657561	5.970732	0.189268	0.686829	0.028	0.045951	306.341461	332.682922	4.887805	5.95122	0.299512	0.660488	0.25561	0.481951	NA	6.50439	NA	NA	2.665073	0.643902
S0101	GA03	KN204-1	Station 24	1646914	846722	17.3999	-24.49991	135	3574	135.9	16.768	36.271999	36.268002	2.269	1.296	0.029	0.984	1.716	6.994	128.800003	112.7	0.76	0.887317	3.02	13.66	0.790439	0	0.016976	2369.500000	2178.429932	NA	0.33	0.4	0.485	NA	NA	4.09	NA	NA	NA	NA	NA	NA	NA	18.829268	39.700001	0.076674	97.560974	0.77561	0.64439	0.068293	0.268	33.799999	0.780488	0.305854	NA	18.1	0.135	127.900002	18.5	9.76	3.4	17	3.4	0.88	4.8	0.67	5.63	1.31	4.79	0.583	4.15	0.594	NA	18.35	1.18	2.45	0.5	0.23	0.24	NA	NA	NA	NA	NA	40	0.001626	0.02439	1.325171	0.217886	48.780487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.882927	13.1	1.434146	12.58	1.170732	11.38	NA	NA	NA	NA	NA	NA	3.625317	NA	6.637171	NA	NA	0.682927	NA	NA	2.243902	NA	NA	2.012585	NA	NA	0.153463	NA	NA	NA	0.535015	NA	NA	0.013268	0.130732	1.473171	2.214634	24.682926	206.829269	0.07522	0.958049	0.406829	1.37561	1.804878	25.365854	0.536585	0.798049	0.032585	0.114146	7.580488	27.512196	0.321951	2.126829	0.149268	0.666341	0.014049	0.039512	117.073174	104.390244	2.234146	4.565854	0.220488	0.54439	0.119024	0.348293	NA	9.756098	NA	NA	2.421171	0.760976
S0102	GA03	KN204-1	Station 24	1646914	846725	17.3999	-24.49991	183.7	3574	184.9	14.295	35.742001	35.741001	1.999	1.1	0.018	0.654	1.744	7.245	81.800003	85.2	1.33	1.077659	6.44	22.77	0.797171	0	0.010927	2331.600098	2207.840088	NA	0.22	16.5	0.347	NA	NA	4.52	2.28	NA	NA	NA	NA	NA	NA	18.234146	40.799999	0.146071	111.219513	0.780488	0.841463	0.17561	0.347	29.200001	0.97561	0.261463	NA	19.65	0.222195	126.400002	20.299999	7.81	3.72	18.200001	3.59	0.93	4.96	0.69	5.63	1.31	4.69	0.592	4.21	0.597	NA	18.360001	1.179	2.449	0.365	0.3	0.36	NA	NA	NA	NA	NA	40.65366	0.003252	0.03252	1.333366	0.086179	84.553169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.395122	12.55	0.263415	11.87	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	0	NA	NA	0.012878	0.107317	2.214634	4.039024	33.756100000000004	243.902435	0.088976	1.229268	0.406829	1.170732	2.478049	21.268293	0.597073	1.287805	0.030146	0.101463	10.048781	21.073172	0.252683	1.931707	0.207805	0.754146	0.018439	0.074049	108.292679	148.292679	2.439024	6.97561	0.199024	0.748293	0.131707	0.477073	NA	9.756098	NA	NA	2.731707	0.681268
